Warszawa , 564 , 372
Kraków , 490 , 617
£ódŸ , 457 , 420
Wroc³aw , 289 , 495
Poznañ , 281 , 347
Gdañsk , 399 , 125
Szczecin , 119 , 232
Bydgoszcz , 356 , 267
Lublin , 671 , 482
Bia³ystok , 712 , 266
Katowice , 425 , 594
Gdynia , 392 , 107
Czêstochowa , 433 , 531
Radom , 574 , 463
Sosnowiec , 434 , 590
Toruñ , 398 , 277
Kielce , 536 , 522
Rzeszów , 633 , 617
Gliwice , 402 , 591
Zabrze , 409 , 588
Olsztyn , 528 , 192
Bielsko-Bia³a , 429 , 642
Bytom , 418 , 579
Zielona Góra , 183 , 403
Rybnik , 394 , 613
Ruda Œl¹ska , 416 , 592
Opole , 351 , 546
Tychy , 423 , 607
Gorzów Wielkopolski , 165 , 312
D¹browa Górnicza , 444 , 586
Elbl¹g , 453 , 148
P³ock , 473 , 332
Wa³brzych , 237 , 533
W³oc³awek , 428 , 321
Tarnów , 563 , 619
Chorzów , 421 , 588
Koszalin , 230 , 147
Kalisz , 367 , 421
Legnica , 230 , 483
Grudzi¹dz , 409 , 226
Jaworzno , 443 , 597
S³upsk , 289 , 114
Jastrzêbie-Zdrój , 396 , 628
Nowy S¹cz , 542 , 666
Jelenia Góra , 199 , 520
Siedlce , 651 , 374
Mys³owice , 434 , 596
Konin , 374 , 370
Piotrków Trybunalski , 471 , 463
Pi³a , 270 , 261
Inowroc³aw , 373 , 304
Lubin , 232 , 463
Ostrów Wielkopolski , 344 , 437
Suwa³ki , 661 , 156
Ostrowiec Œwiêtokrzyski , 589 , 526
Gniezno , 328 , 334
Stargard , 151 , 243
G³ogów , 223 , 434
Siemianowice Œl¹skie , 427 , 588
Pabianice , 450 , 432
Zamoœæ , 719 , 540
Leszno , 257 , 412
£om¿a , 636 , 260
Che³m , 733 , 494
Tomaszów Mazowiecki , 496 , 448
¯ory , 404 , 617
E³k , 655 , 226
Stalowa Wola , 637 , 562
Pruszków , 549 , 375
Przemyœl , 685 , 646
Kêdzierzyn-KoŸle , 369 , 582
Tarnowskie Góry , 416 , 571
Mielec , 592 , 590
Tczew , 405 , 148
